player,team,total_runs,batting_avg,batting_sr,total_wickets,bowling_avg,bowling_economy,catches,stumpings
E Bosch,South Africa,448.0,0.0,77.77000000000007,64.0,33.0,4.709999999999999,0.0,0.0
Usman Ghani,Afghanistan,24.0,12.0,41.37,0.0,0.0,0.0,0.0,0.0
Yamin Ahmadzai,Afghanistan,54.0,2.0,27.776666666666674,45.0,17.0,6.3599999999999985,18.0,0.0
BM Tickner,New Zealand,784.0,1.2857142857142858,38.26714285714298,784.0,33.214285714285715,6.560000000000002,245.0,0.0
Shahnawaz Dahani,Pakistan,16.0,0.0,66.665,4.0,18.0,4.85,0.0,0.0
DA Payne,England,0.0,0.0,0.0,1.0,38.0,4.22,0.0,0.0
D Cleaver,New Zealand,32.0,32.0,86.48,0.0,0.0,0.0,2.0,0.0
Ebadot Hossain,Bangladesh,75.0,0.0,14.666000000000002,550.0,34.945999999999984,5.566,25.0,0.0
Shahbaz Ahmed,India,0.0,0.0,0.0,12.0,14.33,4.6899999999999995,4.0,0.0
KR Sen,India,2.0,0.0,50.0,2.0,18.5,7.4,0.0,0.0
Rehan Ahmed,England,315.0,7.166666666666667,63.55333333333331,90.0,32.96666666666666,5.3100000000000005,9.0,0.0
CE McConchie,New Zealand,504.0,38.5,90.885,16.0,60.5,4.21,12.0,0.0
SR Hain,England,106.0,53.0,106.0,0.0,0.0,0.0,0.0,0.0
TH David,Australia,45.0,11.25,84.9,1.0,20.0,10.0,0.0,0.0
JA Clarkson,New Zealand,17.0,8.5,70.83,3.0,24.33,6.08,1.0,0.0
A Ashok,New Zealand,10.0,10.0,83.33,1.0,65.0,6.39,1.0,0.0
JP Inglis,Australia,192080.0,47.96357142857141,98.22428571428654,0.0,0.0,0.0,5488.0,588.0
JR Hazlewood,Australia,27166.0,3.8529411764705883,58.6264705882353,19074.0,33.19294117647067,4.815882352941159,4913.0,0.0
Azmatullah Omarzai,Afghanistan,308941.0,36.661764705882355,82.72705882352939,11271.0,34.048235294117724,5.299999999999979,2890.0,0.0
Ikram Alikhil,Afghanistan,7350.0,18.142857142857142,71.41142857142849,0.0,0.0,0.0,882.0,98.0
Fazalhaq Farooqi,Afghanistan,6804.0,0.4444444444444444,15.82888888888903,17496.0,37.26611111111133,6.048888888888861,972.0,0.0
Tanzid Hasan,Bangladesh,70785.0,25.509090909090897,92.65818181818197,0.0,0.0,0.0,847.0,0.0
Rishad Hossain,Bangladesh,13120.0,11.375,121.67374999999993,1024.0,26.09375,5.27125,768.0,0.0
Mahmudullah,Bangladesh,854744.0,42.589545454545785,74.98409090909256,2904.0,4.613636363636363,3.2781818181818307,11132.0,0.0
Mehidy Hasan Miraz,Bangladesh,941139.0,24.738888888889026,71.06407407407386,56133.0,33.823333333333366,4.805185185185246,22599.0,0.0
V Kohli,India,1326528.0,46.45047619047688,84.54190476190595,441.0,0.6190476190476191,0.3966666666666672,23373.0,0.0
S Dube,India,34.0,11.33,80.95,1.0,38.0,3.8,1.0,0.0
KL Rahul,India,1057959.0,48.042857142857294,88.20571428571394,0.0,0.0,0.0,36603.0,6174.0
RR Pant,India,25725.0,44.427142857142854,95.50714285714285,0.0,0.0,0.0,931.0,0.0
HC Brook,England,143568.0,26.109166666666646,82.83416666666726,0.0,0.0,0.0,864.0,0.0
WG Jacks,England,24206.0,29.051428571428552,90.52857142857158,294.0,23.90428571428571,5.210000000000007,294.0,0.0
LS Livingstone,England,290304.0,35.043124999999826,101.72375000000008,7680.0,46.328125,5.88937499999997,5120.0,0.0
JG Bethell,England,18179.0,40.97571428571428,80.87142857142871,392.0,13.357142857142858,7.181428571428568,98.0,0.0
JC Archer,England,40176.0,6.375,94.03083333333309,6624.0,34.74166666666666,5.664166666666661,1008.0,0.0
BJ Dwarshuis,Australia,1980.0,9.166666666666666,65.45833333333336,648.0,30.55833333333334,5.263333333333333,36.0,0.0
T de Zorzi,South Africa,46170.0,30.573333333333338,102.97666666666699,0.0,0.0,0.0,0.0,0.0
K Verreynne,South Africa,112892.0,41.46153846153846,98.81230769230757,0.0,0.0,0.0,2366.0,169.0
N Peter,South Africa,5.0,5.0,20.0,3.0,30.0,6.0,0.0,0.0
N Burger,South Africa,40.0,4.0,14.8,24.0,60.900000000000006,5.609999999999999,0.0,0.0
AL Phehlukwayo,South Africa,85504.0,12.144999999999985,62.72687499999974,8192.0,28.145625000000038,5.739374999999999,1536.0,0.0
