Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team,Start Date,End Date
Iftikhar Ahmed,1,1.0,7.0,0.0,38.0,1.0,1/38,38.0,5.42,42.0,0.0,0.0,Pakistan,2022-04-01,2022-05-01
Zahid Mahmood,1,1.0,8.0,0.0,51.0,1.0,1/51,51.0,6.37,48.0,0.0,0.0,Pakistan,2022-04-01,2022-05-01
Asif Ali,1,,,,,,,,,,,,Pakistan,2022-04-01,2022-05-01
Babar Azam,1,,,,,,,,,,,,Pakistan,2022-04-01,2022-05-01
Fakhar Zaman,1,,,,,,,,,,,,Pakistan,2022-04-01,2022-05-01
Imam-ul-Haq,1,,,,,,,,,,,,Pakistan,2022-04-01,2022-05-01
Khushdil Shah,1,,,,,,,,,,,,Pakistan,2022-04-01,2022-05-01
Mohammad Rizwan,1,,,,,,,,,,,,Pakistan,2022-04-01,2022-05-01
MG Bracewell,2,2.0,11.0,0.0,74.0,4.0,3/21,18.5,6.72,16.5,0.0,0.0,New Zealand,2022-04-01,2022-05-01
MJ Henry,1,1.0,7.3,1.0,36.0,4.0,4/36,9.0,4.8,11.2,1.0,0.0,New Zealand,2022-04-01,2022-05-01
DAJ Bracewell,2,2.0,14.0,3.0,47.0,3.0,2/23,15.66,3.35,28.0,0.0,0.0,New Zealand,2022-04-01,2022-05-01
KA Jamieson,2,2.0,13.0,1.0,65.0,3.0,2/22,21.66,5.0,26.0,0.0,0.0,New Zealand,2022-04-01,2022-05-01
IS Sodhi,2,2.0,16.1,1.0,56.0,3.0,2/17,18.66,3.46,32.3,0.0,0.0,New Zealand,2022-04-01,2022-05-01
C de Grandhomme,2,2.0,10.0,1.0,40.0,2.0,1/20,20.0,4.0,30.0,0.0,0.0,New Zealand,2022-04-01,2022-05-01
BM Tickner,1,1.0,5.0,0.0,38.0,1.0,1/38,38.0,7.6,30.0,0.0,0.0,New Zealand,2022-04-01,2022-05-01
MJ Guptill,2,,,,,,,,,,,,New Zealand,2022-04-01,2022-05-01
TWM Latham,2,,,,,,,,,,,,New Zealand,2022-04-01,2022-05-01
HM Nicholls,2,,,,,,,,,,,,New Zealand,2022-04-01,2022-05-01
LRPL Taylor,2,,,,,,,,,,,,New Zealand,2022-04-01,2022-05-01
WA Young,2,,,,,,,,,,,,New Zealand,2022-04-01,2022-05-01
NT Ellis,1,1.0,6.0,0.0,38.0,1.0,1/38,38.0,6.33,36.0,0.0,0.0,Australia,2022-04-01,2022-05-01
SA Abbott,1,1.0,3.0,0.0,15.0,0.0,,,5.0,,0.0,0.0,Australia,2022-04-01,2022-05-01
JP Behrendorff,1,1.0,9.0,0.0,51.0,0.0,,,5.66,,0.0,0.0,Australia,2022-04-01,2022-05-01
C Green,1,1.0,3.0,0.0,19.0,0.0,,,6.33,,0.0,0.0,Australia,2022-04-01,2022-05-01
TM Head,1,1.0,2.0,0.0,9.0,0.0,,,4.5,,0.0,0.0,Australia,2022-04-01,2022-05-01
M Labuschagne,1,1.0,5.5,0.0,31.0,0.0,,,5.31,,0.0,0.0,Australia,2022-04-01,2022-05-01
A Zampa,1,1.0,9.0,0.0,50.0,0.0,,,5.55,,0.0,0.0,Australia,2022-04-01,2022-05-01
AT Carey,1,,,,,,,,,,,,Australia,2022-04-01,2022-05-01
AJ Finch,1,,,,,,,,,,,,Australia,2022-04-01,2022-05-01
BR McDermott,1,,,,,,,,,,,,Australia,2022-04-01,2022-05-01
MP Stoinis,1,,,,,,,,,,,,Australia,2022-04-01,2022-05-01
Mohammad Nawaz (3),3,3.0,30.0,1.0,136.0,7.0,4/19,19.42,4.53,25.7,1.0,0.0,Pakistan,2022-06-01,2022-07-01
Shadab Khan,3,3.0,28.0,2.0,139.0,7.0,4/62,19.85,4.96,24.0,1.0,0.0,Pakistan,2022-06-01,2022-07-01
Haris Rauf,2,2.0,15.0,1.0,107.0,4.0,4/77,26.75,7.13,22.5,1.0,0.0,Pakistan,2022-06-01,2022-07-01
Mohammad Wasim (1),2,2.0,11.2,1.0,55.0,4.0,3/34,13.75,4.85,17.0,0.0,0.0,Pakistan,2022-06-01,2022-07-01
Shaheen Shah Afridi,2,2.0,14.0,2.0,72.0,3.0,2/55,24.0,5.14,28.0,0.0,0.0,Pakistan,2022-06-01,2022-07-01
Hasan Ali,2,2.0,15.2,0.0,97.0,2.0,2/29,48.5,6.32,46.0,0.0,0.0,Pakistan,2022-06-01,2022-07-01
Shahnawaz Dahani,1,1.0,6.0,0.0,36.0,1.0,1/36,36.0,6.0,36.0,0.0,0.0,Pakistan,2022-06-01,2022-07-01
Babar Azam,3,,,,,,,,,,,,Pakistan,2022-06-01,2022-07-01
Fakhar Zaman,3,,,,,,,,,,,,Pakistan,2022-06-01,2022-07-01
Imam-ul-Haq,3,,,,,,,,,,,,Pakistan,2022-06-01,2022-07-01
Khushdil Shah,3,,,,,,,,,,,,Pakistan,2022-06-01,2022-07-01
Mohammad Haris,3,,,,,,,,,,,,Pakistan,2022-06-01,2022-07-01
Mohammad Rizwan,3,,,,,,,,,,,,Pakistan,2022-06-01,2022-07-01
DJ Willey,3,3.0,26.2,0.0,124.0,8.0,4/36,15.5,4.7,19.7,1.0,0.0,England,2022-06-01,2022-07-01
MM Ali,3,2.0,14.0,0.0,87.0,3.0,3/57,29.0,6.21,28.0,0.0,0.0,England,2022-06-01,2022-07-01
BA Carse,2,2.0,15.0,0.0,85.0,3.0,2/49,28.33,5.66,30.0,0.0,0.0,England,2022-06-01,2022-07-01
AU Rashid,3,3.0,29.0,0.0,150.0,3.0,2/50,50.0,5.17,58.0,0.0,0.0,England,2022-06-01,2022-07-01
SM Curran,2,2.0,15.0,0.0,81.0,2.0,2/46,40.5,5.4,45.0,0.0,0.0,England,2022-06-01,2022-07-01
LS Livingstone,3,2.0,13.0,0.0,68.0,2.0,1/28,34.0,5.23,39.0,0.0,0.0,England,2022-06-01,2022-07-01
RJW Topley,2,2.0,18.0,1.0,81.0,2.0,2/46,40.5,4.5,54.0,0.0,0.0,England,2022-06-01,2022-07-01
DJ Malan,3,1.0,0.4,0.0,5.0,1.0,1/5,5.0,7.5,4.0,0.0,0.0,England,2022-06-01,2022-07-01
DA Payne,1,1.0,9.0,1.0,38.0,1.0,1/38,38.0,4.22,54.0,0.0,0.0,England,2022-06-01,2022-07-01
JC Buttler,3,,,,,,,,,,,,England,2022-06-01,2022-07-01
EJG Morgan,2,,,,,,,,,,,,England,2022-06-01,2022-07-01
JJ Roy,3,,,,,,,,,,,,England,2022-06-01,2022-07-01
PD Salt,3,,,,,,,,,,,,England,2022-06-01,2022-07-01
PJ Cummins,4,4.0,31.5,3.0,142.0,8.0,4/35,17.75,4.46,23.8,1.0,0.0,Australia,2022-06-01,2022-07-01
MP Kuhnemann,4,4.0,38.0,3.0,191.0,6.0,2/26,31.83,5.02,38.0,0.0,0.0,Australia,2022-06-01,2022-07-01
GJ Maxwell,5,5.0,45.0,2.0,226.0,5.0,2/35,45.2,5.02,54.0,0.0,0.0,Australia,2022-06-01,2022-07-01
JR Hazlewood,5,5.0,43.3,4.0,204.0,4.0,2/22,51.0,4.68,65.2,0.0,0.0,Australia,2022-06-01,2022-07-01
JA Richardson,2,2.0,17.0,0.0,103.0,3.0,2/39,34.33,6.05,34.0,0.0,0.0,Australia,2022-06-01,2022-07-01
AC Agar,1,1.0,10.0,0.0,49.0,2.0,2/49,24.5,4.9,30.0,0.0,0.0,Australia,2022-06-01,2022-07-01
M Labuschagne,5,5.0,21.0,1.0,130.0,2.0,2/19,65.0,6.19,63.0,0.0,0.0,Australia,2022-06-01,2022-07-01
MR Marsh,3,2.0,8.0,1.0,32.0,2.0,2/29,16.0,4.0,24.0,0.0,0.0,Australia,2022-06-01,2022-07-01
C Green,3,3.0,12.0,0.0,70.0,1.0,1/13,70.0,5.83,72.0,0.0,0.0,Australia,2022-06-01,2022-07-01
MJ Swepson,1,1.0,10.0,0.0,58.0,1.0,1/58,58.0,5.8,60.0,0.0,0.0,Australia,2022-06-01,2022-07-01
TM Head,3,1.0,1.0,0.0,9.0,0.0,,,9.0,,0.0,0.0,Australia,2022-06-01,2022-07-01
MP Stoinis,1,1.0,1.0,0.0,3.0,0.0,,,3.0,,0.0,0.0,Australia,2022-06-01,2022-07-01
AT Carey,5,,,,,,,,,,,,Australia,2022-06-01,2022-07-01
AJ Finch,5,,,,,,,,,,,,Australia,2022-06-01,2022-07-01
JP Inglis,1,,,,,,,,,,,,Australia,2022-06-01,2022-07-01
SPD Smith,2,,,,,,,,,,,,Australia,2022-06-01,2022-07-01
DA Warner,5,,,,,,,,,,,,Australia,2022-06-01,2022-07-01
Mohammad Nabi,3,3.0,27.0,3.0,86.0,8.0,4/34,10.75,3.18,20.2,1.0,0.0,Afghanistan,2022-06-01,2022-07-01
Rashid Khan,3,3.0,27.5,0.0,126.0,7.0,3/31,18.0,4.52,23.8,0.0,0.0,Afghanistan,2022-06-01,2022-07-01
Fazalhaq Farooqi,3,3.0,25.0,2.0,100.0,6.0,2/25,16.66,4.0,25.0,0.0,0.0,Afghanistan,2022-06-01,2022-07-01
Fareed Ahmad,3,3.0,25.0,3.0,92.0,5.0,3/56,18.4,3.68,30.0,0.0,0.0,Afghanistan,2022-06-01,2022-07-01
Azmatullah Omarzai,3,3.0,18.0,0.0,66.0,2.0,1/17,33.0,3.66,54.0,0.0,0.0,Afghanistan,2022-06-01,2022-07-01
Mujeeb Ur Rahman,3,3.0,22.0,1.0,90.0,1.0,1/23,90.0,4.09,132.0,0.0,0.0,Afghanistan,2022-06-01,2022-07-01
Hashmatullah Shahidi,3,,,,,,,,,,,,Afghanistan,2022-06-01,2022-07-01
Ibrahim Zadran,3,,,,,,,,,,,,Afghanistan,2022-06-01,2022-07-01
Najibullah Zadran,3,,,,,,,,,,,,Afghanistan,2022-06-01,2022-07-01
Rahmanullah Gurbaz,3,,,,,,,,,,,,Afghanistan,2022-06-01,2022-07-01
Rahmat Shah,3,,,,,,,,,,,,Afghanistan,2022-06-01,2022-07-01
YS Chahal,6,6.0,44.5,0.0,261.0,14.0,4/17,18.64,5.82,19.2,2.0,0.0,India,2022-07-01,2022-08-01
JJ Bumrah,2,2.0,17.2,4.0,68.0,8.0,6/19,8.5,3.92,13.0,0.0,1.0,India,2022-07-01,2022-08-01
SN Thakur,3,3.0,20.0,0.0,125.0,7.0,3/54,17.85,6.25,17.1,0.0,0.0,India,2022-07-01,2022-08-01
Mohammed Siraj,4,4.0,32.0,2.0,183.0,6.0,2/14,30.5,5.71,32.0,0.0,0.0,India,2022-07-01,2022-08-01
HH Pandya,3,3.0,17.0,3.0,74.0,6.0,4/24,12.33,4.35,17.0,1.0,0.0,India,2022-07-01,2022-08-01
Mohammed Shami,3,3.0,24.0,0.0,117.0,4.0,3/31,29.25,4.87,36.0,0.0,0.0,India,2022-07-01,2022-08-01
M Prasidh Krishna,5,5.0,36.0,1.0,219.0,3.0,1/26,73.0,6.08,72.0,0.0,0.0,India,2022-07-01,2022-08-01
AR Patel,3,3.0,22.0,1.0,121.0,2.0,1/38,60.5,5.5,66.0,0.0,0.0,India,2022-07-01,2022-08-01
DJ Hooda,3,3.0,18.0,1.0,80.0,1.0,1/42,80.0,4.44,108.0,0.0,0.0,India,2022-07-01,2022-08-01
RA Jadeja,3,2.0,9.0,0.0,38.0,1.0,1/21,38.0,4.22,54.0,0.0,0.0,India,2022-07-01,2022-08-01
Avesh Khan,1,1.0,6.0,0.0,54.0,0.0,,,9.0,,0.0,0.0,India,2022-07-01,2022-08-01
S Dhawan,6,,,,,,,,,,,,India,2022-07-01,2022-08-01
SS Iyer,4,,,,,,,,,,,,India,2022-07-01,2022-08-01
V Kohli,2,,,,,,,,,,,,India,2022-07-01,2022-08-01
RR Pant,3,,,,,,,,,,,,India,2022-07-01,2022-08-01
SV Samson,3,,,,,,,,,,,,India,2022-07-01,2022-08-01
RG Sharma,3,,,,,,,,,,,,India,2022-07-01,2022-08-01
Shubman Gill,3,,,,,,,,,,,,India,2022-07-01,2022-08-01
SA Yadav,6,,,,,,,,,,,,India,2022-07-01,2022-08-01
Mehidy Hasan Miraz,3,3.0,25.0,3.0,126.0,7.0,4/29,18.0,5.04,21.4,1.0,0.0,Bangladesh,2022-07-01,2022-08-01
Nasum Ahmed,3,3.0,27.4,8.0,74.0,5.0,3/19,14.8,2.67,33.2,0.0,0.0,Bangladesh,2022-07-01,2022-08-01
Shoriful Islam,2,2.0,11.0,1.0,43.0,5.0,4/34,8.6,3.9,13.2,1.0,0.0,Bangladesh,2022-07-01,2022-08-01
Taijul Islam,1,1.0,10.0,2.0,28.0,5.0,5/28,5.6,2.8,12.0,0.0,1.0,Bangladesh,2022-07-01,2022-08-01
Mustafizur Rahman,3,3.0,21.0,0.0,70.0,3.0,2/24,23.33,3.33,42.0,0.0,0.0,Bangladesh,2022-07-01,2022-08-01
Mosaddek Hossain,2,2.0,20.0,1.0,60.0,2.0,1/23,30.0,3.0,60.0,0.0,0.0,Bangladesh,2022-07-01,2022-08-01
Afif Hossain,3,1.0,2.0,1.0,2.0,0.0,,,1.0,,0.0,0.0,Bangladesh,2022-07-01,2022-08-01
Taskin Ahmed,1,1.0,8.0,0.0,25.0,0.0,,,3.12,,0.0,0.0,Bangladesh,2022-07-01,2022-08-01
Litton Das,3,,,,,,,,,,,,Bangladesh,2022-07-01,2022-08-01
Mahmudullah,3,,,,,,,,,,,,Bangladesh,2022-07-01,2022-08-01
Najmul Hossain Shanto,3,,,,,,,,,,,,Bangladesh,2022-07-01,2022-08-01
Nurul Hasan,3,,,,,,,,,,,,Bangladesh,2022-07-01,2022-08-01
Tamim Iqbal,3,,,,,,,,,,,,Bangladesh,2022-07-01,2022-08-01
MJ Henry,3,3.0,29.0,4.0,170.0,7.0,4/68,24.28,5.86,24.8,1.0,0.0,New Zealand,2022-07-01,2022-08-01
MG Bracewell,4,4.0,35.0,3.0,162.0,5.0,3/43,32.4,4.62,42.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
MJ Santner,3,3.0,30.0,1.0,163.0,5.0,3/71,32.6,5.43,36.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
JA Duffy,2,2.0,16.4,1.0,104.0,4.0,3/52,26.0,6.24,25.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
LH Ferguson,3,3.0,30.0,1.0,181.0,4.0,2/44,45.25,6.03,45.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
BM Tickner,4,4.0,36.0,2.0,246.0,4.0,2/71,61.5,6.83,54.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
GD Phillips,4,3.0,9.0,0.0,49.0,2.0,1/9,24.5,5.44,27.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
IS Sodhi,1,1.0,10.0,0.0,62.0,2.0,2/62,31.0,6.2,30.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
DJ Mitchell,1,1.0,2.0,0.0,6.0,1.0,1/6,6.0,3.0,12.0,0.0,0.0,New Zealand,2022-07-01,2022-08-01
FH Allen,4,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
MS Chapman,1,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
D Cleaver,1,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
MJ Guptill,4,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
TWM Latham,3,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
HM Nicholls,3,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
WA Young,3,,,,,,,,,,,,New Zealand,2022-07-01,2022-08-01
RJW Topley,5,5.0,30.5,6.0,132.0,11.0,6/24,12.0,4.28,16.8,0.0,1.0,England,2022-07-01,2022-08-01
MM Ali,6,6.0,34.2,1.0,183.0,4.0,2/22,45.75,5.33,51.5,0.0,0.0,England,2022-07-01,2022-08-01
AU Rashid,3,3.0,22.0,1.0,128.0,4.0,3/29,32.0,5.81,33.0,0.0,0.0,England,2022-07-01,2022-08-01
BA Carse,4,4.0,27.4,0.0,161.0,3.0,1/32,53.66,5.81,55.3,0.0,0.0,England,2022-07-01,2022-08-01
LS Livingstone,6,4.0,9.0,1.0,57.0,3.0,2/30,19.0,6.33,18.0,0.0,0.0,England,2022-07-01,2022-08-01
DJ Willey,5,5.0,27.0,4.0,121.0,3.0,1/9,40.33,4.48,54.0,0.0,0.0,England,2022-07-01,2022-08-01
SM Curran,3,3.0,16.0,1.0,89.0,2.0,1/5,44.5,5.56,48.0,0.0,0.0,England,2022-07-01,2022-08-01
C Overton,3,3.0,19.0,0.0,110.0,1.0,1/54,110.0,5.78,114.0,0.0,0.0,England,2022-07-01,2022-08-01
MJ Potts,1,1.0,4.0,0.0,33.0,0.0,,,8.25,,0.0,0.0,England,2022-07-01,2022-08-01
JE Root,6,1.0,0.1,0.0,4.0,0.0,,,24.0,,0.0,0.0,England,2022-07-01,2022-08-01
BA Stokes,4,3.0,8.0,0.0,59.0,0.0,,,7.37,,0.0,0.0,England,2022-07-01,2022-08-01
JM Bairstow,6,,,,,,,,,,,,England,2022-07-01,2022-08-01
JC Buttler,6,,,,,,,,,,,,England,2022-07-01,2022-08-01
JJ Roy,6,,,,,,,,,,,,England,2022-07-01,2022-08-01
PD Salt,2,,,,,,,,,,,,England,2022-07-01,2022-08-01
A Nortje,3,2.0,14.0,0.0,106.0,6.0,4/53,17.66,7.57,14.0,1.0,0.0,South Africa,2022-07-01,2022-08-01
D Pretorius,3,2.0,9.0,0.0,62.0,4.0,4/36,15.5,6.88,13.5,1.0,0.0,South Africa,2022-07-01,2022-08-01
T Shamsi,3,2.0,15.0,0.0,92.0,4.0,2/39,23.0,6.13,22.5,0.0,0.0,South Africa,2022-07-01,2022-08-01
KA Maharaj,3,2.0,16.0,1.0,71.0,2.0,1/29,35.5,4.43,48.0,0.0,0.0,South Africa,2022-07-01,2022-08-01
AK Markram,3,1.0,4.0,0.0,25.0,2.0,2/25,12.5,6.25,12.0,0.0,0.0,South Africa,2022-07-01,2022-08-01
L Ngidi,3,2.0,14.0,0.0,88.0,1.0,1/49,88.0,6.28,84.0,0.0,0.0,South Africa,2022-07-01,2022-08-01
AL Phehlukwayo,1,1.0,3.0,0.0,17.0,0.0,,,5.66,,0.0,0.0,South Africa,2022-07-01,2022-08-01
Q de Kock,3,,,,,,,,,,,,South Africa,2022-07-01,2022-08-01
H Klaasen,3,,,,,,,,,,,,South Africa,2022-07-01,2022-08-01
JN Malan,3,,,,,,,,,,,,South Africa,2022-07-01,2022-08-01
DA Miller,3,,,,,,,,,,,,South Africa,2022-07-01,2022-08-01
HE van der Dussen,3,,,,,,,,,,,,South Africa,2022-07-01,2022-08-01
AR Patel,3,3.0,24.3,4.0,74.0,6.0,3/24,12.33,3.02,24.5,0.0,0.0,India,2022-08-01,2022-09-01
DL Chahar,2,2.0,17.0,0.0,102.0,5.0,3/27,20.4,6.0,20.4,0.0,0.0,India,2022-08-01,2022-09-01
M Prasidh Krishna,2,2.0,14.1,1.0,78.0,4.0,3/50,19.5,5.5,21.2,0.0,0.0,India,2022-08-01,2022-09-01
SN Thakur,2,2.0,16.0,0.0,93.0,4.0,3/38,23.25,5.81,24.0,0.0,0.0,India,2022-08-01,2022-09-01
Avesh Khan,1,1.0,9.3,1.0,66.0,3.0,3/66,22.0,6.94,19.0,0.0,0.0,India,2022-08-01,2022-09-01
Kuldeep Yadav,3,3.0,28.0,1.0,123.0,3.0,2/38,41.0,4.39,56.0,0.0,0.0,India,2022-08-01,2022-09-01
Mohammed Siraj,2,2.0,16.0,4.0,52.0,2.0,1/16,26.0,3.25,48.0,0.0,0.0,India,2022-08-01,2022-09-01
DJ Hooda,3,2.0,3.0,0.0,15.0,1.0,1/6,15.0,5.0,18.0,0.0,0.0,India,2022-08-01,2022-09-01
S Dhawan,3,,,,,,,,,,,,India,2022-08-01,2022-09-01
Ishan Kishan,3,,,,,,,,,,,,India,2022-08-01,2022-09-01
KL Rahul,3,,,,,,,,,,,,India,2022-08-01,2022-09-01
SV Samson,3,,,,,,,,,,,,India,2022-08-01,2022-09-01
Shubman Gill,3,,,,,,,,,,,,India,2022-08-01,2022-09-01
Naseem Shah,3,3.0,26.0,0.0,111.0,10.0,5/33,11.1,4.26,15.6,0.0,1.0,Pakistan,2022-08-01,2022-09-01
Haris Rauf,2,2.0,17.1,1.0,83.0,6.0,3/16,13.83,4.83,17.1,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Mohammad Wasim (1),3,3.0,27.2,0.0,133.0,6.0,4/36,22.16,4.86,27.3,1.0,0.0,Pakistan,2022-08-01,2022-09-01
Mohammad Nawaz (3),3,3.0,28.0,1.0,118.0,4.0,3/42,29.5,4.21,42.0,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Shadab Khan,2,2.0,19.0,0.0,88.0,1.0,1/41,88.0,4.63,114.0,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Agha Salman,3,2.0,6.0,0.0,30.0,0.0,,,5.0,,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Khushdil Shah,3,1.0,2.0,0.0,15.0,0.0,,,7.5,,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Shahnawaz Dahani,1,1.0,10.0,0.0,37.0,0.0,,,3.7,,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Zahid Mahmood,1,1.0,8.0,0.0,39.0,0.0,,,4.87,,0.0,0.0,Pakistan,2022-08-01,2022-09-01
Abdullah Shafique,1,,,,,,,,,,,,Pakistan,2022-08-01,2022-09-01
Babar Azam,3,,,,,,,,,,,,Pakistan,2022-08-01,2022-09-01
Fakhar Zaman,3,,,,,,,,,,,,Pakistan,2022-08-01,2022-09-01
Imam-ul-Haq,2,,,,,,,,,,,,Pakistan,2022-08-01,2022-09-01
Mohammad Haris,1,,,,,,,,,,,,Pakistan,2022-08-01,2022-09-01
Mohammad Rizwan,2,,,,,,,,,,,,Pakistan,2022-08-01,2022-09-01
Mustafizur Rahman,2,2.0,14.2,0.0,74.0,5.0,4/17,14.8,5.16,17.2,1.0,0.0,Bangladesh,2022-08-01,2022-09-01
Mehidy Hasan Miraz,3,3.0,22.0,0.0,125.0,4.0,2/50,31.25,5.68,33.0,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Hasan Mahmud,2,2.0,17.0,1.0,85.0,3.0,2/47,28.33,5.0,34.0,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Taijul Islam,2,2.0,19.0,0.0,82.0,3.0,2/34,27.33,4.31,38.0,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Ebadot Hossain,1,1.0,8.0,1.0,38.0,2.0,2/38,19.0,4.75,24.0,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Mosaddek Hossain,1,1.0,9.2,0.0,67.0,1.0,1/67,67.0,7.17,56.0,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Shoriful Islam,2,2.0,17.4,0.0,134.0,1.0,1/57,134.0,7.58,106.0,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Afif Hossain,3,1.0,0.3,0.0,6.0,0.0,,,12.0,,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Mahmudullah,3,1.0,1.2,0.0,12.0,0.0,,,9.0,,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Taskin Ahmed,2,2.0,19.0,1.0,114.0,0.0,,,6.0,,0.0,0.0,Bangladesh,2022-08-01,2022-09-01
Anamul Haque,3,,,,,,,,,,,,Bangladesh,2022-08-01,2022-09-01
Litton Das,1,,,,,,,,,,,,Bangladesh,2022-08-01,2022-09-01
Mushfiqur Rahim,3,,,,,,,,,,,,Bangladesh,2022-08-01,2022-09-01
Najmul Hossain Shanto,2,,,,,,,,,,,,Bangladesh,2022-08-01,2022-09-01
Tamim Iqbal,3,,,,,,,,,,,,Bangladesh,2022-08-01,2022-09-01
TA Boult,3,3.0,26.0,2.0,120.0,8.0,3/18,15.0,4.61,19.5,0.0,0.0,New Zealand,2022-08-01,2022-09-01
TG Southee,3,3.0,27.0,3.0,108.0,7.0,4/22,15.42,4.0,23.1,1.0,0.0,New Zealand,2022-08-01,2022-09-01
MJ Santner,3,3.0,24.3,0.0,84.0,4.0,2/38,21.0,3.42,36.7,0.0,0.0,New Zealand,2022-08-01,2022-09-01
LH Ferguson,2,2.0,18.0,0.0,135.0,1.0,1/80,135.0,7.5,108.0,0.0,0.0,New Zealand,2022-08-01,2022-09-01
JDS Neesham,2,2.0,9.0,0.0,61.0,1.0,1/30,61.0,6.77,54.0,0.0,0.0,New Zealand,2022-08-01,2022-09-01
GD Phillips,1,1.0,3.0,0.0,34.0,1.0,1/34,34.0,11.33,18.0,0.0,0.0,New Zealand,2022-08-01,2022-09-01
MG Bracewell,3,3.0,17.0,0.0,97.0,0.0,,,5.7,,0.0,0.0,New Zealand,2022-08-01,2022-09-01
FH Allen,3,,,,,,,,,,,,New Zealand,2022-08-01,2022-09-01
DP Conway,3,,,,,,,,,,,,New Zealand,2022-08-01,2022-09-01
MJ Guptill,3,,,,,,,,,,,,New Zealand,2022-08-01,2022-09-01
TWM Latham,3,,,,,,,,,,,,New Zealand,2022-08-01,2022-09-01
DJ Mitchell,3,,,,,,,,,,,,New Zealand,2022-08-01,2022-09-01
KS Williamson,1,,,,,,,,,,,,New Zealand,2022-08-01,2022-09-01
C Green,2,2.0,12.0,0.0,40.0,7.0,5/33,5.71,3.33,10.2,0.0,1.0,Australia,2022-08-01,2022-09-01
A Zampa,2,2.0,13.5,0.0,78.0,6.0,3/21,13.0,5.63,13.8,0.0,0.0,Australia,2022-08-01,2022-09-01
MA Starc,2,2.0,16.3,2.0,51.0,4.0,3/24,12.75,3.09,24.7,0.0,0.0,Australia,2022-08-01,2022-09-01
AC Agar,1,1.0,3.0,0.0,15.0,1.0,1/15,15.0,5.0,18.0,0.0,0.0,Australia,2022-08-01,2022-09-01
JR Hazlewood,2,2.0,16.0,3.0,52.0,1.0,1/16,52.0,3.25,96.0,0.0,0.0,Australia,2022-08-01,2022-09-01
MR Marsh,1,1.0,6.0,0.0,22.0,1.0,1/22,22.0,3.66,36.0,0.0,0.0,Australia,2022-08-01,2022-09-01
GJ Maxwell,2,1.0,4.0,0.0,19.0,0.0,,,4.75,,0.0,0.0,Australia,2022-08-01,2022-09-01
MP Stoinis,2,1.0,4.0,0.0,9.0,0.0,,,2.25,,0.0,0.0,Australia,2022-08-01,2022-09-01
AT Carey,2,,,,,,,,,,,,Australia,2022-08-01,2022-09-01
AJ Finch,2,,,,,,,,,,,,Australia,2022-08-01,2022-09-01
SPD Smith,2,,,,,,,,,,,,Australia,2022-08-01,2022-09-01
DA Warner,2,,,,,,,,,,,,Australia,2022-08-01,2022-09-01
TA Boult,3,3.0,30.0,8.0,103.0,10.0,4/38,10.3,3.43,18.0,2.0,0.0,New Zealand,2022-09-01,2022-10-01
MJ Henry,2,2.0,20.0,0.0,83.0,5.0,3/33,16.6,4.15,24.0,0.0,0.0,New Zealand,2022-09-01,2022-10-01
LH Ferguson,2,2.0,19.0,0.0,116.0,3.0,2/60,38.66,6.1,38.0,0.0,0.0,New Zealand,2022-09-01,2022-10-01
MJ Santner,3,3.0,27.0,1.0,121.0,2.0,1/22,60.5,4.48,81.0,0.0,0.0,New Zealand,2022-09-01,2022-10-01
TG Southee,2,2.0,20.0,1.0,96.0,2.0,1/39,48.0,4.8,60.0,0.0,0.0,New Zealand,2022-09-01,2022-10-01
MG Bracewell,2,2.0,6.0,0.0,37.0,0.0,,,6.16,,0.0,0.0,New Zealand,2022-09-01,2022-10-01
DJ Mitchell,3,1.0,2.0,0.0,7.0,0.0,,,3.5,,0.0,0.0,New Zealand,2022-09-01,2022-10-01
