player,fantasy_score
Asghar Afghan,213.82173981805036
RK Singh,184.72173981805037
Naveen-ul-Haq,184.27697508736048
KM Jadhav,179.22173981805037
Javed Ahmadi,171.47173981805037
JR Philippe,160.1008706804132
D Cleaver,159.55928123694108
XC Bartlett,159.5508706804132
WA Agar,158.8008706804132
MC Henriques,158.4235083711564
GF Linde,142.40515713994625
Sohaib Maqsood,99.6966406424653
TB Robinson,98.75928123694106
RM Patidar,98.62173981805039
MP Kuhnemann,87.51087068041319
W Sutherland,85.90087068041319
R Parag,76.22173981805038
RD Chahar,63.82173981805036
Rehan Ahmed,57.05929734656337
Shamim Hossain,54.65087068041319
Asif Ali,53.57312513972249
Usman Ghani,51.021739818050364
VR Iyer,51.021739818050364
TH David,49.0508706804132
Sarfaraz Ahmed,48.446640642465304
Karim Janat,47.32173981805036
DM Dupavillon,45.641257119569985
Faisal Akram,44.84664064246531
JA Simpson,41.84664064246531
Sufiyan Muqeem,28.84664064246531
KT Maphaka,27.505157139946245
JA Clarkson,26.06928123694109
OEG Baartman,24.441257119569947
Mrittunjoy Chowdhury,23.4008706804132
Danish Aziz,12.246640642465307
HK Bennett,11.67928123694109
N Rana,5.621739818050367
Rony Talukdar,-1.3991293195868018
K Zondo,-3.1948428600537544
Zia-ur-Rehman,-6.778260181949632
L Wood,-9.226874860277519
N Peter,-11.994842860053755
JP Behrendorff,-13.799129319586802
Khaled Ahmed,-16.9991293195868
TW Hartley,-17.75335935753469
GLS Scrimshaw,-23.15335935753469
J Yadav,-25.378260181949635
RP Meredith,-26.199129319586802
DT Christian,-26.199129319586802
S Dube,-29.328260181949645
Ihsanullah,-32.15335935753469
Haseebullah Khan,-32.15335935753469
Zaman Khan,-32.15335935753469
Aamer Jamal,-36.143359357534685
Bilal Sami,-37.77826018194963
Mohammad Saleem,-37.77826018194963
C Sakariya,-38.77826018194963
D Foxcroft,-38.840718763058916
ZGF Foulkes,-38.840718763058916
KR Sen,-40.878260181949635
Qais Ahmad,-56.466081455597006
MW Parkinson,-59.62687486027752
B Kumar,-59.71302491263998
Zakir Hasan,-85.59303455669442
